OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1919	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU145	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA
OTU309	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	NA	NA	NA
OTU2444	Fungi	NA	NA	NA	NA	NA	NA
OTU444	Fungi	NA	NA	NA	NA	NA	NA
OTU1977	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	NA
OTU2041	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Phaeohelotium	NA
OTU2118	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria terricola 
OTU415	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	NA
OTU158	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU90	Fungi	NA	NA	NA	NA	NA	NA
OTU2987	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
OTU406	Fungi	NA	NA	NA	NA	NA	NA
OTU205	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Flagelloscypha	NA
OTU58	Fungi	NA	NA	NA	NA	NA	NA
OTU1052	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
OTU1219	Fungi	NA	NA	NA	NA	NA	NA
OTU196	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU224	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Chlamydocillium	Chlamydocillium cyanophilum 
OTU42	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU591	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU167	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	NA	NA
OTU1282	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	NA	NA
OTU3777	Fungi	NA	NA	NA	NA	NA	NA
OTU3298	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU3108	Fungi	NA	NA	NA	NA	NA	NA
OTU111	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium paneum 
OTU1077	Fungi	Chytridiomycota	NA	NA	NA	NA	NA
OTU1084	Fungi	Ascomycota	Sordariomycetes	Branch06	NA	NA	NA
OTU3412	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU294	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiaceae	Myrmecridium	NA
OTU3266	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
OTU1244	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Sarocladium	NA
OTU2392	Fungi	NA	NA	NA	NA	NA	NA
OTU3016	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
OTU3527	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU319	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Groenewaldozyma	Groenewaldozyma salmanticensis 
OTU695	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus menthae 
OTU854	Fungi	Ascomycota	Leotiomycetes	Sporadotrichida	NA	NA	NA
OTU475	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU532	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU410	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae 
OTU775	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU551	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	NA	NA
OTU221	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lophotrichus	NA
OTU75	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU566	Fungi	Rozellomycota	NA	NA	NA	NA	NA
OTU792	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU449	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora	NA
OTU3197	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Veronaea	NA
OTU2046	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NA
OTU1054	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma rosigena 
OTU430	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	NA	NA
OTU1837	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU1158	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	NA
OTU2045	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	NA	NA
OTU638	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU1444	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	NA	NA	NA
OTU364	Fungi	Ascomycota	Orbiliomycetes	NA	NA	NA	NA
OTU1578	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	NA	NA	NA
OTU316	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium pilosum 
OTU299	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Hyphodontia	NA
OTU3785	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Mrakia	Mrakia frigida 
OTU2898	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU254	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Olpidiaceae	Olpidium	NA
OTU1742	Fungi	NA	NA	NA	NA	NA	NA
OTU3115	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU2868	Fungi	NA	NA	NA	NA	NA	NA
OTU559	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Stephanonectria	Stephanonectria keithii 
OTU899	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Syncephalis	NA
OTU546	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Minimelanolocus	NA
OTU77	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA
OTU1076	Fungi	NA	NA	NA	NA	NA	NA
OTU455	Fungi	Microbotryomycetes	NA	NA	NA	NA	NA
OTU992	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU302	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus domesticus 
OTU3890	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum 
OTU978	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	NA
OTU746	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	NA	NA
OTU41	Fungi	Ascomycota	Laboulbeniomycetes	NA	NA	NA	NA
OTU157	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Bulleromyces	Bulleromyces albus 
OTU482	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	NA	NA	NA
OTU271	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	NA
OTU1621	Fungi	NA	NA	NA	NA	NA	NA
OTU1992	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	NA
